Awscenter BMKG;;;;;;;;;;;;;;;;;;;;;;;;;
ID Stasiun;Nama Stasiun;Lat;Lng;Elevasi;Tanggal;rr;ws_avg;ws_max;wd_avg;tt_air_max;tt_air_avg;tt_air_min;rh_avg;pp_air;sr_avg;sr_max;nr;wl;tt_sea;tt_pan;ws_50cm;wl_pan;ev_pan;konduktivitas;ph_sea
STA2181;AWS Stamet 745 Kemayoran;-6.155.946;1.068.423;3;01/03/2021 00:00;0;1.3;1.8;215;29;29;28.9;65.3;1009.9;194.6;205.7;;;;;;;;;
STA2181;AWS Stamet 745 Kemayoran;-6.155.946;1.068.423;3;01/03/2021 00:01;0;0;0.9;0;29;29;28.9;65.1;1010.7;113;183.5;;;;;;;;;
STA2181;AWS Stamet 745 Kemayoran;-6.155.946;1.068.423;3;01/03/2021 00:02;0;0;0.5;0;29.1;29.1;29;65.3;1010.6;101.9;105.6;;;;;;;;;
STA2181;AWS Stamet 745 Kemayoran;-6.155.946;1.068.423;3;01/03/2021 00:03;0;0;0;0;29.1;29.1;29.1;65.5;1010.4;105.6;105.6;;;;;;;;;
STA2181;AWS Stamet 745 Kemayoran;-6.155.946;1.068.423;3;01/03/2021 00:04;0;1.2;1.2;199;29.1;29.1;29.1;64.8;1010.7;109.3;109.3;;;;;;;;;
STA2181;AWS Stamet 745 Kemayoran;-6.155.946;1.068.423;3;01/03/2021 00:05;0;0.4;1.8;276;29.2;29.2;29.1;64.7;1010.1;113;113;;;;;;;;;
STA2181;AWS Stamet 745 Kemayoran;-6.155.946;1.068.423;3;01/03/2021 00:06;0;0;0.3;0;29.2;29.2;29.2;65.3;1010.5;114.9;114.9;;;;;;;;;
STA2181;AWS Stamet 745 Kemayoran;-6.155.946;1.068.423;3;01/03/2021 00:07;0;1;1.1;237;29.3;29.2;29.2;64.2;1010.7;116.7;116.7;;;;;;;;;
STA2181;AWS Stamet 745 Kemayoran;-6.155.946;1.068.423;3;01/03/2021 00:08;0;0.7;1.3;205;29.3;29.3;29.2;63.8;1009.9;116.7;116.7;;;;;;;;;
STA2181;AWS Stamet 745 Kemayoran;-6.155.946;1.068.423;3;01/03/2021 00:09;0;2;2;283;29.3;29.3;29.2;64;1010.7;118.6;118.6;;;;;;;;;
STA2181;AWS Stamet 745 Kemayoran;-6.155.946;1.068.423;3;01/03/2021 00:10;0;2;3.3;209;29.3;29.3;29.3;62.7;1010.6;116.8;116.8;;;;;;;;;
STA2181;AWS Stamet 745 Kemayoran;-6.155.946;1.068.423;3;01/03/2021 00:11;0;1.6;2.8;217;29.4;29.3;29.3;62.6;1010.1;116.8;116.8;;;;;;;;;
STA2181;AWS Stamet 745 Kemayoran;-6.155.946;1.068.423;3;01/03/2021 00:12;0;1;1.7;261;29.4;29.4;29.4;63.3;1010.9;116.7;116.8;;;;;;;;;
STA2181;AWS Stamet 745 Kemayoran;-6.155.946;1.068.423;3;01/03/2021 00:13;0;1.3;2.4;228;29.5;29.5;29.3;62.2;1010.1;120.5;120.5;;;;;;;;;
STA2181;AWS Stamet 745 Kemayoran;-6.155.946;1.068.423;3;01/03/2021 00:14;0;1;1.8;271;29.5;29.5;29.4;63.8;1010.5;127.9;127.9;;;;;;;;;
STA2181;AWS Stamet 745 Kemayoran;-6.155.946;1.068.423;3;01/03/2021 00:15;0;0.8;1.3;188;29.6;29.5;29.5;63.9;1010.7;131.6;131.6;;;;;;;;;
STA2181;AWS Stamet 745 Kemayoran;-6.155.946;1.068.423;3;01/03/2021 00:16;0;0;1;0;29.7;29.6;29.6;63.1;1010;135.3;135.3;;;;;;;;;
STA2181;AWS Stamet 745 Kemayoran;-6.155.946;1.068.423;3;01/03/2021 00:17;0;2.2;2.2;221;29.8;29.7;29.6;62.7;1010.8;142.7;142.7;;;;;;;;;
STA2181;AWS Stamet 745 Kemayoran;-6.155.946;1.068.423;3;01/03/2021 00:18;0;2.2;2.2;195;29.8;29.8;29.7;62.7;1010.5;142.7;142.7;;;;;;;;;
STA2181;AWS Stamet 745 Kemayoran;-6.155.946;1.068.423;3;01/03/2021 00:19;0;0;2.4;0;29.8;29.8;29.7;63.2;1010.3;135.3;140.8;;;;;;;;;
STA2181;AWS Stamet 745 Kemayoran;-6.155.946;1.068.423;3;01/03/2021 00:20;0;1.5;1.5;348;29.9;29.8;29.8;63;1010.9;144.6;144.6;;;;;;;;;
STA2181;AWS Stamet 745 Kemayoran;-6.155.946;1.068.423;3;01/03/2021 00:21;0;2.5;2.5;190;30;29.8;29.8;61.6;1010.2;139;150.1;;;;;;;;;
STA2181;AWS Stamet 745 Kemayoran;-6.155.946;1.068.423;3;01/03/2021 00:22;0;3.2;3.3;238;29.9;29.8;29.7;61.6;1010.5;133.4;137.1;;;;;;;;;
STA2181;AWS Stamet 745 Kemayoran;-6.155.946;1.068.423;3;01/03/2021 00:23;0;2;2.2;233;29.8;29.7;29.7;61.6;1010.6;133.4;133.4;;;;;;;;;
STA2181;AWS Stamet 745 Kemayoran;-6.155.946;1.068.423;3;01/03/2021 00:24;0;3.1;3.6;283;29.7;29.6;29.6;62.4;1010;127.9;133.4;;;;;;;;;
STA2181;AWS Stamet 745 Kemayoran;-6.155.946;1.068.423;3;01/03/2021 00:25;0;0;3.1;0;29.7;29.6;29.6;62.5;1010.9;131.6;131.6;;;;;;;;;
STA2181;AWS Stamet 745 Kemayoran;-6.155.946;1.068.423;3;01/03/2021 00:26;0;0.7;1.4;37;29.6;29.6;29.5;63.9;1010.5;131.6;131.6;;;;;;;;;
STA2181;AWS Stamet 745 Kemayoran;-6.155.946;1.068.423;3;01/03/2021 00:27;0;3.4;3.4;227;29.6;29.5;29.5;62.6;1010.2;127.9;135.3;;;;;;;;;
STA2181;AWS Stamet 745 Kemayoran;-6.155.946;1.068.423;3;01/03/2021 00:28;0;4.3;4.3;237;29.6;29.5;29.5;63;1010.8;120.5;124.2;;;;;;;;;
STA2181;AWS Stamet 745 Kemayoran;-6.155.946;1.068.423;3;01/03/2021 00:29;0;1.3;4.3;320;29.6;29.5;29.4;63.1;1010.1;120.5;120.5;;;;;;;;;
STA2181;AWS Stamet 745 Kemayoran;-6.155.946;1.068.423;3;01/03/2021 00:30;0;1.1;2.2;268;29.5;29.4;29.4;63.7;1011;116.8;120.5;;;;;;;;;
STA2181;AWS Stamet 745 Kemayoran;-6.155.946;1.068.423;3;01/03/2021 00:31;0;1.6;3.5;222;29.5;29.5;29.4;63;1010.9;116.8;116.8;;;;;;;;;
STA2181;AWS Stamet 745 Kemayoran;-6.155.946;1.068.423;3;01/03/2021 00:32;0;1.1;3.1;248;29.5;29.5;29.4;63.1;1010.3;116.7;116.8;;;;;;;;;
STA2181;AWS Stamet 745 Kemayoran;-6.155.946;1.068.423;3;01/03/2021 00:33;0;2.5;2.5;218;29.5;29.4;29.4;63.5;1010.9;120.5;120.5;;;;;;;;;
STA2181;AWS Stamet 745 Kemayoran;-6.155.946;1.068.423;3;01/03/2021 00:34;0;0.8;2.1;337;29.5;29.4;29.3;63.6;1010.4;126;126;;;;;;;;;
STA2181;AWS Stamet 745 Kemayoran;-6.155.946;1.068.423;3;01/03/2021 00:35;0;1.2;1.2;201;29.4;29.4;29.3;63.9;1010.7;131.6;131.6;;;;;;;;;
STA2181;AWS Stamet 745 Kemayoran;-6.155.946;1.068.423;3;01/03/2021 00:36;0;2.7;2.7;246;29.5;29.4;29.4;64.7;1010.9;135.3;135.3;;;;;;;;;
STA2181;AWS Stamet 745 Kemayoran;-6.155.946;1.068.423;3;01/03/2021 00:37;0;3.4;3.4;244;29.4;29.4;29.3;63.1;1010.1;139;139;;;;;;;;;
STA2181;AWS Stamet 745 Kemayoran;-6.155.946;1.068.423;3;01/03/2021 00:38;0;1.5;3.7;209;29.4;29.4;29.3;63.1;1010.9;142.7;142.7;;;;;;;;;
STA2181;AWS Stamet 745 Kemayoran;-6.155.946;1.068.423;3;01/03/2021 00:39;0;0.3;1.6;334;29.4;29.4;29.4;63.9;1010.6;146.4;146.4;;;;;;;;;
STA2181;AWS Stamet 745 Kemayoran;-6.155.946;1.068.423;3;01/03/2021 00:40;0;0;1;0;29.5;29.4;29.4;64;1010.5;157.5;157.5;;;;;;;;;
STA2181;AWS Stamet 745 Kemayoran;-6.155.946;1.068.423;3;01/03/2021 00:41;0;1.3;1.5;287;29.5;29.5;29.4;64.5;1011;177.9;177.9;;;;;;;;;
STA2181;AWS Stamet 745 Kemayoran;-6.155.946;1.068.423;3;01/03/2021 00:42;0;3.1;4;267;29.5;29.4;29.4;63.4;1010.5;174.2;190.9;;;;;;;;;
STA2181;AWS Stamet 745 Kemayoran;-6.155.946;1.068.423;3;01/03/2021 00:43;0;1.8;3.9;274;29.4;29.4;29.4;63.9;1010.6;176.1;176.1;;;;;;;;;
STA2181;AWS Stamet 745 Kemayoran;-6.155.946;1.068.423;3;01/03/2021 00:44;0;3.5;3.7;247;29.5;29.4;29.4;63;1010.9;200.1;200.1;;;;;;;;;
STA2181;AWS Stamet 745 Kemayoran;-6.155.946;1.068.423;3;01/03/2021 00:45;0;1.8;3.4;243;29.4;29.4;29.4;63.1;1010.2;227.9;229.8;;;;;;;;;
STA2181;AWS Stamet 745 Kemayoran;-6.155.946;1.068.423;3;01/03/2021 00:46;0;1.4;2.5;199;29.5;29.5;29.4;63.8;1011;287.2;287.2;;;;;;;;;
STA2181;AWS Stamet 745 Kemayoran;-6.155.946;1.068.423;3;01/03/2021 00:47;0;1.8;2.9;224;29.5;29.5;29.4;63.2;1010.7;357.7;357.7;;;;;;;;;
STA2181;AWS Stamet 745 Kemayoran;-6.155.946;1.068.423;3;01/03/2021 00:48;0;1;1.8;328;29.8;29.8;29.6;63.4;1010.5;633.8;635.6;;;;;;;;;
STA2181;AWS Stamet 745 Kemayoran;-6.155.946;1.068.423;3;01/03/2021 00:49;0;2.2;2.8;222;29.8;29.8;29.8;62.4;1011;339.1;576.3;;;;;;;;;
STA2181;AWS Stamet 745 Kemayoran;-6.155.946;1.068.423;3;01/03/2021 00:50;0;1.7;3.1;319;30;29.9;29.9;62.9;1010.2;313.2;392.9;;;;;;;;;
STA2181;AWS Stamet 745 Kemayoran;-6.155.946;1.068.423;3;01/03/2021 00:51;0;1.9;3.1;218;30;29.8;29.8;62.2;1010.7;450.3;450.3;;;;;;;;;
STA2181;AWS Stamet 745 Kemayoran;-6.155.946;1.068.423;3;01/03/2021 00:52;0;2;4;219;29.9;29.9;29.9;62.3;1010.7;650.5;661.6;;;;;;;;;
STA2181;AWS Stamet 745 Kemayoran;-6.155.946;1.068.423;3;01/03/2021 00:53;0;3;3.9;347;30.1;30;29.9;61.8;1010.1;696.8;696.8;;;;;;;;;
STA2181;AWS Stamet 745 Kemayoran;-6.155.946;1.068.423;3;01/03/2021 00:54;0;2.8;3.4;275;30.2;30.2;30.1;61.1;1010.9;702.4;702.4;;;;;;;;;
STA2181;AWS Stamet 745 Kemayoran;-6.155.946;1.068.423;3;01/03/2021 00:55;0;1.5;2.5;238;30.3;30.3;30.2;61.3;1010.3;713.5;713.5;;;;;;;;;
STA2181;AWS Stamet 745 Kemayoran;-6.155.946;1.068.423;3;01/03/2021 00:56;0;2.7;3.5;235;30.5;30.5;30.4;60.5;1010.5;709.8;720.9;;;;;;;;;
STA2181;AWS Stamet 745 Kemayoran;-6.155.946;1.068.423;3;01/03/2021 00:57;0;1.6;3.3;276;30.7;30.7;30.5;61.2;1010.9;698.6;728.3;;;;;;;;;
STA2181;AWS Stamet 745 Kemayoran;-6.155.946;1.068.423;3;01/03/2021 00:58;0;1.4;5.6;251;30.7;30.6;30.6;60.4;1010.4;672.7;735.7;;;;;;;;;
STA2181;AWS Stamet 745 Kemayoran;-6.155.946;1.068.423;3;01/03/2021 00:59;0;1.5;2.8;262;30.6;30.6;30.6;60.7;1010.9;732;733.8;;;;;;;;;
STA2181;AWS Stamet 745 Kemayoran;-6.155.946;1.068.423;3;01/03/2021 01:00;0;2.3;2.7;271;30.8;30.7;30.6;61.1;1010.6;561.5;746.8;;;;;;;;;
STA2181;AWS Stamet 745 Kemayoran;-6.155.946;1.068.423;3;01/03/2021 01:01;0;1.4;2.5;278;31;31;30.8;60.3;1010.5;454;700.5;;;;;;;;;
STA2181;AWS Stamet 745 Kemayoran;-6.155.946;1.068.423;3;01/03/2021 01:02;0;2.1;3.3;263;31;31;30.9;60.7;1010.9;535.6;535.6;;;;;;;;;
STA2181;AWS Stamet 745 Kemayoran;-6.155.946;1.068.423;3;01/03/2021 01:03;0;0;1.6;0;31.1;31.1;31;61.1;1010.3;498.5;757.9;;;;;;;;;
STA2181;AWS Stamet 745 Kemayoran;-6.155.946;1.068.423;3;01/03/2021 01:04;0;1.7;1.7;276;31.3;31.2;31.1;60;1010.9;650.4;687.5;;;;;;;;;
STA2181;AWS Stamet 745 Kemayoran;-6.155.946;1.068.423;3;01/03/2021 01:05;0;1.3;2.8;214;31.2;31.1;31;59.7;1010.9;583.7;715.3;;;;;;;;;
STA2181;AWS Stamet 745 Kemayoran;-6.155.946;1.068.423;3;01/03/2021 01:06;0;2.2;2.2;319;31.2;31.2;31.1;61.2;1010.5;648.6;713.5;;;;;;;;;
STA2181;AWS Stamet 745 Kemayoran;-6.155.946;1.068.423;3;01/03/2021 01:07;0;0.3;1.3;274;31.3;31.3;31.2;60.6;1011.1;554.1;620.8;;;;;;;;;
STA2181;AWS Stamet 745 Kemayoran;-6.155.946;1.068.423;3;01/03/2021 01:08;0;1.4;2;316;31.4;31.3;31.3;59;1010.2;650.4;752.4;;;;;;;;;
STA2181;AWS Stamet 745 Kemayoran;-6.155.946;1.068.423;3;01/03/2021 01:09;0;1.6;2.5;262;31.3;31.1;31.1;59.9;1010.9;641.2;657.9;;;;;;;;;
STA2181;AWS Stamet 745 Kemayoran;-6.155.946;1.068.423;3;01/03/2021 01:10;0;3.1;4.2;277;31.1;31;31;59.5;1010.9;520.7;555.9;;;;;;;;;
STA2181;AWS Stamet 745 Kemayoran;-6.155.946;1.068.423;3;01/03/2021 01:11;0;2.3;3.4;219;31;31;30.9;60.2;1010.3;572.6;687.5;;;;;;;;;
STA2181;AWS Stamet 745 Kemayoran;-6.155.946;1.068.423;3;01/03/2021 01:12;0;0.8;2.9;168;31.1;31.1;30.9;61;1011;524.4;580;;;;;;;;;
STA2181;AWS Stamet 745 Kemayoran;-6.155.946;1.068.423;3;01/03/2021 01:13;0;2.2;3.1;280;31.2;31.1;31.1;59.7;1010.5;546.7;546.7;;;;;;;;;
STA2181;AWS Stamet 745 Kemayoran;-6.155.946;1.068.423;3;01/03/2021 01:14;0;4.7;4.7;248;31.2;31.1;31.1;59.7;1010.9;509.6;565.2;;;;;;;;;
STA2181;AWS Stamet 745 Kemayoran;-6.155.946;1.068.423;3;01/03/2021 01:15;0;2.9;3.5;208;31.2;31;31;60.1;1011;613.4;613.4;;;;;;;;;
STA2181;AWS Stamet 745 Kemayoran;-6.155.946;1.068.423;3;01/03/2021 01:16;0;2.6;4;288;31;30.9;30.9;60.5;1010.4;446.6;520.7;;;;;;;;;
STA2181;AWS Stamet 745 Kemayoran;-6.155.946;1.068.423;3;01/03/2021 01:17;0;1;2.4;305;31;31;30.8;61.3;1011.2;461.4;572.6;;;;;;;;;
